function_id,degree,base_field_label,base_field_degree,sigma_one,sigma_two,sigma_three,ordinal,citations,family,original_model,monic_centered,chebyshev_model,reduced_model,newton_model,display_model,is_polynomial,is_chebyshev,is_newton,is_lattes,is_pcf,automorphism_group_cardinality,rational_twists,critical_portrait_cardinality,post_critical_cardinality,critical_portrait_components,critical_portrait_structure,critical_portrait_graph_id
118,3,1.1.1.1,1,fda31d86,03e59053,fd042cff,1,{1},{2},"(""{{2,0,0,1},{0,0,0,2}}"",64,{2},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,0,1/2},{0,0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{2,0,0,1},{0,0,0,2}}"",64,{2},0.6931471805599453,1.1.1.1,""{0,-1,1,0}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
23,2,1.1.1.1,1,4dfc2d86,c0be294d,e89621d9,1,{4},{1},"(""{{3,0,-4},{0,0,3}}"",81,{3},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-4/3},{0,0,1}}"",1,{3},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{3,0,-4},{0,0,3}}"",81,{3},1.3862943611198906,1.1.1.1,""{1,-2,0,3}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
120,3,1.1.1.1,1,9554125a,42669779,625af779,1,{1},{},"(""{{1,0,1,0},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1,0},{0,0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,1,0},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,2,,,,,,
24,2,1.1.1.1,1,a2ec8083,b1a8ea2c,1f46722a,1,{4},{1},"(""{{5,0,1},{0,0,5}}"",625,{5},1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1/5},{0,0,1}}"",1,{5},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{5,0,1},{0,0,5}}"",625,{5},1.6094379124341003,1.1.1.1,""{1,2,0,5}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
121,3,1.1.1.1,1,0055c590,ed64de1e,a97769c0,1,{1},{},"(""{{1,0,1,1},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1,1},{0,0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,1,1},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
119,3,1.1.1.1,1,fd1640cc,7470b8f6,1ddf8158,1,{1},{2},"(""{{1,0,0,2},{0,0,0,1}}"",1,{},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,0,2},{0,0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,0,2},{0,0,0,1}}"",1,{},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
122,3,1.1.1.1,1,73d4f185,524a9dc2,075be646,1,{1},{},"(""{{2,0,2,1},{0,0,0,2}}"",64,{2},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1,1/2},{0,0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{2,0,2,1},{0,0,0,2}}"",64,{2},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
25,2,1.1.1.1,1,2ff4dd9d,526e4b4e,fc4652c2,1,{4},{1},"(""{{5,0,-1},{0,0,5}}"",625,{5},1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-1/5},{0,0,1}}"",1,{5},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{5,0,-1},{0,0,5}}"",625,{5},1.6094379124341003,1.1.1.1,""{1,0,0,5}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
125,3,1.1.1.1,1,b00ed9b9,04728702,2f0de5f8,1,{1},{},"(""{{1,0,-1,1},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-1,1},{0,0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,-1,1},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
123,3,1.1.1.1,1,431e08a7,e629f6d9,ab07b574,1,{1},{},"(""{{1,0,1,2},{0,0,0,1}}"",1,{},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1,2},{0,0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,1,2},{0,0,0,1}}"",1,{},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
126,3,1.1.1.1,1,169c9f27,0e4e42b3,80bc1fe2,1,{1},{},"(""{{2,0,-2,1},{0,0,0,2}}"",64,{2},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-1,1/2},{0,0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{2,0,-2,1},{0,0,0,2}}"",64,{2},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
26,2,1.1.1.1,1,c2be1add,c16d257e,c8001765,1,{4},{1},"(""{{1,0,5},{0,0,1}}"",1,{},1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,5},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,5},{0,0,1}}"",1,{},1.6094379124341003,1.1.1.1,""{1,1,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
