label,degree,defn_poly_coeffs,signature,conductor,discriminant,class_number
3.1.4023.1,3,"{-29,15,0,1}","{1,1}",1,-4023,
3.1.1615.1,3,"{-3,7,0,1}","{1,1}",1,-1615,
3.1.1599.1,3,"{-23,3,0,1}","{1,1}",1,-1599,
3.1.748.1,3,"{5,1,-1,1}","{1,1}",1,-748,
3.1.2291.1,3,"{-3,8,0,1}","{1,1}",1,-2291,
3.1.1807.1,3,"{-3,8,-1,1}","{1,1}",1,-1807,
3.1.1267.1,3,"{-4,7,-1,1}","{1,1}",1,-1267,
3.1.307.1,3,"{2,3,-1,1}","{1,1}",1,-307,
3.1.883.1,3,"{-12,2,-1,1}","{1,1}",1,-883,
3.1.1967.1,3,"{25,2,-1,1}","{1,1}",1,-1967,
3.1.3159.1,3,"{-3,9,0,1}","{1,1}",1,-3159,
3.1.2604.1,3,"{-3,9,-1,1}","{1,1}",1,-2604,
3.1.1959.1,3,"{-5,8,-1,1}","{1,1}",1,-1959,
3.1.687.1,3,"{3,4,-1,1}","{1,1}",1,-687,
3.1.972.1,3,"{-12,0,0,1}","{1,1}",1,-972,
3.1.643.1,3,"{-5,-2,0,1}","{1,1}",2,-643,
3.1.2051.1,3,"{14,-7,-1,1}","{1,1}",2,-2051,
3.1.856.1,3,"{11,1,-1,1}","{1,1}",1,-856,
3.1.5371.1,3,"{-22,-15,-1,1}","{1,1}",2,-5371,
3.1.7988.1,3,"{46,-20,-1,1}","{1,1}",4,-7988,
3.1.11371.1,3,"{-55,-26,0,1}","{1,1}",1,-11371,
3.1.331.1,3,"{-4,3,-1,1}","{1,1}",2,-331,
3.1.1235.1,3,"{10,-5,-1,1}","{1,1}",1,-1235,
3.1.2376.1,3,"{-14,-9,0,1}","{1,1}",1,-2376,
3.1.4075.1,3,"{-18,-13,-1,1}","{1,1}",1,-4075,
3.1.1607.1,3,"{-16,2,-1,1}","{1,1}",1,-1607,
